Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,26,2TM,SG,83,83,2963,9.8,20.9,0.468,2.8,7.3,0.382,7,13.6,0.514,0.535,5.2,5.8,0.895,1.3,4.7,6,4.5,1.5,1,2.1,2.6,27.6,118,115,,bridgmi01
2,Mikal Bridges,26,PHO,SF,56,56,2040,8.5,18.3,0.463,2.4,6.3,0.387,6.1,12.1,0.503,0.529,3.7,4.2,0.897,1.3,4.5,5.8,4.8,1.6,1.1,1.9,2.8,23.1,118,114,,bridgmi01
3,Mikal Bridges,26,BRK,SG,27,27,923,12.6,26.6,0.475,3.6,9.6,0.376,9,17,0.531,0.543,8.5,9.5,0.894,1.2,5.2,6.4,3.8,1.4,0.8,2.6,2.3,37.3,117,116,,bridgmi01
4,Anthony Edwards,21,MIN,SG,79,79,2842,11.8,25.8,0.459,3.6,9.7,0.369,8.3,16.1,0.513,0.528,5.3,7.1,0.756,0.8,6.9,7.7,5.9,2.1,1,4.3,3.1,32.5,106,113,AS,edwaran01
5,Zach LaVine,27,CHI,SG,77,77,2768,11.8,24.4,0.485,3.6,9.6,0.375,8.3,14.9,0.556,0.558,6.4,7.5,0.848,0.7,5.3,6.1,5.8,1.2,0.3,3.4,2.8,33.7,116,115,,lavinza01
6,Nikola Vučević,32,CHI,C,82,82,2746,10.6,20.4,0.52,2.1,6.2,0.349,8.4,14.2,0.594,0.573,2.3,2.8,0.835,2.8,13.2,16,4.7,1.1,1,2.5,3.2,25.7,117,110,,vucevni01
7,Julius Randle,28,NYK,PF,77,77,2737,11.9,25.9,0.459,3.9,11.5,0.343,7.9,14.4,0.553,0.536,7.3,9.6,0.757,2.5,11.3,13.9,5.7,0.9,0.4,3.9,4.2,35,117,114,CPOY-14ASNBA3,randlju01
8,Domantas Sabonis,26,SAC,C,79,79,2736,10.1,16.4,0.615,0.5,1.5,0.373,9.5,15,0.639,0.632,5.7,7.7,0.742,4.4,12.6,17,10,1.1,0.7,4,4.9,26.4,132,114,MVP-7ASNBA3,sabondo01
9,Jayson Tatum,24,BOS,SF,74,74,2732,13,27.8,0.466,4.3,12.2,0.35,8.7,15.6,0.558,0.543,9.5,11.1,0.854,1.4,10.2,11.6,6.1,1.4,0.9,3.8,2.9,39.7,118,110,MVP-4CPOY-10ASNBA1,tatumja01
10,Spencer Dinwiddie,29,2TM,SG,79,79,2725,8.3,19,0.438,3.3,8.9,0.369,5.1,10.2,0.498,0.524,4.9,6,0.812,0.5,4.4,4.9,9.3,1.2,0.4,2.6,3.4,24.8,118,118,,dinwisp01
11,Spencer Dinwiddie,29,DAL,SG,53,53,1808,8.7,19.1,0.455,3.8,9.4,0.405,4.9,9.7,0.504,0.555,4.7,5.7,0.821,0.5,4,4.5,7.7,1.1,0.4,2.5,3.4,25.8,120,119,,dinwisp01
12,Spencer Dinwiddie,29,BRK,PG,26,26,917,7.7,19,0.404,2.3,7.9,0.289,5.4,11,0.488,0.465,5.2,6.5,0.797,0.5,5.2,5.7,12.6,1.5,0.4,2.9,3.4,22.8,115,116,,dinwisp01
13,Evan Mobley,21,CLE,PF,79,79,2715,9.7,17.5,0.554,0.4,1.9,0.216,9.3,15.6,0.595,0.566,3.8,5.6,0.674,3.5,9.7,13.1,4.1,1.1,2.2,2.7,4,23.6,117,108,DPOY-3,mobleev01
14,Dejounte Murray,26,ATL,SG,74,74,2693,10.8,23.3,0.464,2.4,6.9,0.344,8.5,16.5,0.514,0.514,2.8,3.4,0.832,0.9,5.9,6.9,7.9,2,0.3,2.8,1.9,26.8,112,116,,murrade01
15,DeMar DeRozan,33,CHI,SF,74,74,2682,11.9,23.7,0.504,0.8,2.6,0.324,11.1,21.1,0.526,0.522,8.3,9.5,0.872,0.6,5.6,6.2,6.8,1.5,0.7,2.8,3.4,33,119,113,CPOY-3AS,derozde01
16,Scottie Barnes,21,TOR,SF,77,76,2678,8.5,18.8,0.456,1.2,4.1,0.281,7.4,14.6,0.505,0.487,3.5,4.5,0.772,3.3,6.1,9.5,6.8,1.5,1.1,2.8,3.1,21.8,113,115,,barnesc01
17,Harrison Barnes,30,SAC,PF,82,82,2662,6.7,14.2,0.473,2.4,6.3,0.374,4.3,7.9,0.553,0.556,6.3,7.4,0.847,1.6,5,6.6,2.3,1,0.2,1.5,1.9,22.1,126,119,,barneha02
18,Pascal Siakam,28,TOR,PF,71,71,2652,11.7,24.5,0.48,1.7,5.4,0.324,10,19.1,0.523,0.515,6.8,8.8,0.774,2.4,7.9,10.4,7.7,1.2,0.7,3.2,4.3,32.1,118,115,AS,siakapa01
19,CJ McCollum,31,NOP,PG,75,75,2649,10.7,24.6,0.437,3.9,9.9,0.389,6.9,14.7,0.469,0.515,3.3,4.4,0.769,1,5,6,7.8,1.3,0.7,3.3,2.8,28.7,110,115,,mccolcj01
20,Franz Wagner,21,ORL,SF,80,80,2609,10,20.7,0.485,2.4,6.7,0.361,7.6,14,0.544,0.543,5,6,0.842,1.3,4.8,6.1,5.2,1.4,0.3,3.1,3.4,27.5,115,116,,wagnefr01
21,Jalen Green,20,HOU,SG,76,76,2602,10.5,25.3,0.416,3.5,10.3,0.338,7.1,15,0.471,0.485,6.8,8.6,0.786,0.8,4.5,5.3,5.2,1.1,0.3,3.7,2.4,31.4,109,122,,greenja05
22,Bam Adebayo,25,MIA,C,75,75,2598,11.6,21.4,0.54,0,0.2,0.083,11.5,21.2,0.545,0.541,6.2,7.7,0.806,3.5,9.7,13.2,4.6,1.7,1.2,3.6,4,29.3,115,111,DPOY-5AS,adebaba01
23,Trae Young,24,ATL,PG,73,73,2541,11.2,26.1,0.429,2.9,8.6,0.335,8.3,17.4,0.476,0.485,10.6,12,0.886,1.1,3,4.1,13.9,1.5,0.2,5.6,2,35.9,116,119,,youngtr01
24,Fred VanVleet,28,TOR,PG,69,69,2535,8.5,21.7,0.393,4,11.8,0.342,4.5,9.9,0.455,0.486,5,5.5,0.898,0.6,4.9,5.5,9.7,2.4,0.7,2.7,3.8,26,117,114,,vanvlfr01
25,Buddy Hield,30,IND,SF,80,73,2482,9.1,19.9,0.458,5.5,12.9,0.425,3.6,6.9,0.518,0.596,2,2.5,0.822,1.3,6.4,7.7,4.3,1.8,0.5,2.7,3,25.7,115,118,,hieldbu01
26,RJ Barrett,22,NYK,SG,73,73,2475,10.2,23.5,0.434,2.4,7.8,0.31,7.8,15.7,0.495,0.485,5.8,7.8,0.74,1.2,6.2,7.3,4,0.6,0.3,3.3,3.6,28.6,107,118,,barrerj01
27,Jordan Poole,23,GSW,PG,82,43,2458,10.6,24.6,0.43,4.1,12.2,0.336,6.5,12.3,0.524,0.514,6.9,8,0.87,0.6,3.7,4.3,7.1,1.2,0.4,4.8,4.1,32.2,109,117,,poolejo01
28,Josh Hart,27,2TM,SF,76,52,2454,5.5,10.4,0.529,1.2,3.3,0.372,4.3,7.1,0.601,0.588,2.6,3.5,0.75,2.8,9,11.8,5.8,1.8,0.4,2.3,3.9,14.8,125,116,,hartjo01
29,Josh Hart,27,POR,SF,51,51,1704,5.2,10.4,0.504,1,3.2,0.304,4.3,7.2,0.594,0.551,2.5,3.4,0.731,2.7,9.2,11.9,5.7,1.5,0.3,2.3,3.8,13.9,121,118,,hartjo01
30,Josh Hart,27,NYK,SF,25,1,750,6.1,10.3,0.586,1.8,3.4,0.519,4.3,6.9,0.619,0.672,3,3.8,0.789,3.1,8.5,11.6,5.9,2.2,0.8,2.5,4.1,16.9,136,112,,hartjo01
31,Jabari Smith Jr.,19,HOU,PF,79,79,2451,7.2,17.6,0.408,2.4,7.7,0.307,4.8,9.9,0.487,0.475,3.2,4.1,0.786,2.4,8.8,11.3,2,0.9,1.5,2.1,4.5,20,108,119,,smithja05
32,Trey Murphy III,22,NOP,SF,79,65,2448,7.7,15.8,0.484,4,9.8,0.406,3.7,6,0.611,0.61,3.4,3.8,0.905,1.2,4.4,5.6,2.2,1.8,0.9,1.2,3.1,22.7,128,114,,murphtr02
33,Darius Garland,23,CLE,PG,69,69,2447,10.7,23.1,0.462,3.5,8.4,0.41,7.2,14.7,0.492,0.537,5.7,6.6,0.863,0.6,3.2,3.8,11,1.7,0.2,4.1,3,30.5,118,113,,garlada01
34,Tobias Harris,30,PHI,SF,74,74,2436,8.6,17.2,0.501,2.6,6.6,0.389,6,10.6,0.57,0.575,2.3,2.6,0.876,1.4,7.3,8.6,3.8,1.4,0.8,1.8,3,22.1,118,114,,harrito02
35,De'Aaron Fox,25,SAC,PG,73,73,2435,13.4,26.2,0.512,2.3,7.2,0.324,11.1,18.9,0.584,0.557,6.7,8.6,0.78,0.8,5.2,6,8.8,1.6,0.5,3.6,3.4,35.9,119,117,MVP-11CPOY-1ASNBA3,foxde01
36,Donovan Mitchell,26,CLE,SG,68,68,2432,14,28.9,0.484,5.1,13.1,0.386,9,15.8,0.566,0.572,6.6,7.6,0.867,1.3,4.7,6,6.2,2,0.6,3.7,3.5,39.6,118,111,MVP-6CPOY-6ASNBA2,mitchdo01
37,Paolo Banchero,20,ORL,PF,72,72,2430,9.5,22.3,0.427,1.7,5.7,0.298,7.8,16.6,0.471,0.465,7.8,10.6,0.738,1.7,8.2,9.9,5.4,1.2,0.8,4,3.2,28.6,105,114,ROY-1,banchpa01
38,Jaden McDaniels,22,MIN,SF,79,79,2416,7.3,14.1,0.517,2.1,5.3,0.398,5.2,8.8,0.588,0.591,2.1,2.8,0.736,1.8,4.2,6,2.9,1.5,1.5,2.2,5.3,18.7,115,115,,mcdanja02
39,Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,13.8,27.2,0.51,1.1,3.3,0.345,12.7,23.8,0.533,0.531,13.2,14.5,0.905,1.2,5.3,6.5,7.3,2.2,1.3,3.8,3.8,42,125,113,MVP-5CPOY-7ASNBA1,gilgesh01
40,Royce O'Neale,29,BRK,SF,76,53,2409,4.6,12,0.386,3.3,8.5,0.389,1.3,3.5,0.379,0.524,1,1.4,0.725,1.1,6.7,7.8,5.7,1.3,1,2.3,4.8,13.6,108,115,,onealro01
41,Jaylen Brown,26,BOS,SF,67,67,2405,13.8,28,0.491,3.3,9.9,0.335,10.5,18.2,0.576,0.55,5.3,7,0.765,1.6,7.7,9.3,4.7,1.5,0.5,4,3.5,36.2,110,111,ASNBA2,brownja02
42,Luka Dončić,23,DAL,PG,66,66,2391,14.9,30.1,0.496,3.8,11.2,0.342,11.1,18.9,0.588,0.56,10.7,14.4,0.742,1.1,10.7,11.8,11,1.9,0.7,4.9,3.5,44.4,120,113,MVP-8CPOY-8ASNBA1,doncilu01
43,OG Anunoby,25,TOR,SF,67,67,2386,8.7,18.3,0.476,2.9,7.6,0.387,5.8,10.7,0.539,0.556,2.9,3.5,0.838,2,4.9,6.9,2.7,2.7,1,2.7,4.1,23.3,113,113,DPOY-7,anunoog01
44,Keegan Murray,22,SAC,SF,80,78,2382,7.1,15.7,0.453,4.1,10.1,0.411,3,5.6,0.527,0.584,1.2,1.6,0.765,1.8,5.7,7.5,2,1.2,0.8,1.2,3.3,19.6,119,117,ROY-5,murrake02
45,Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,6,13,0.462,2.8,6.6,0.423,3.2,6.4,0.502,0.569,2.1,2.6,0.824,0.7,3.6,4.3,3.8,2.3,0.7,1.8,3,16.9,117,115,,caldwke01
46,P.J. Washington,24,CHO,PF,73,73,2380,8.7,19.6,0.444,3,8.6,0.348,5.7,11,0.518,0.52,2.5,3.5,0.73,1.5,5.7,7.2,3.5,1.3,1.6,2.2,3.9,22.9,107,116,,washipj01
47,Jalen Brunson,26,NYK,PG,68,68,2379,12.2,24.8,0.491,2.8,6.7,0.416,9.4,18.1,0.519,0.547,6.8,8.1,0.829,0.8,4.2,5,8.7,1.3,0.3,3,3.2,33.9,125,117,MVP-12CPOY-4,brunsja01
48,Brook Lopez,34,MIL,C,78,78,2373,9.6,18.1,0.531,2.7,7.3,0.374,6.9,10.8,0.637,0.606,3,3.8,0.784,3.2,7.3,10.5,2,0.7,3.9,2.2,4.1,24.9,122,109,DPOY-2,lopezbr01
49,Josh Giddey,20,OKC,PF,76,76,2367,10.8,22.4,0.482,1.5,4.7,0.325,9.3,17.7,0.524,0.516,2.1,2.9,0.731,3,9.1,12,9.4,1.1,0.6,4.2,2.9,25.3,109,114,,giddejo01
50,Reggie Bullock,31,DAL,SF,78,55,2364,4,9.9,0.409,3.2,8.3,0.38,0.9,1.5,0.562,0.569,0.5,0.8,0.703,0.7,5.3,6,2.3,1.1,0.3,0.8,3.5,11.8,116,119,,bullore01
51,Immanuel Quickley,23,NYK,SG,81,21,2344,8.8,19.7,0.448,3.5,9.6,0.37,5.3,10.2,0.521,0.537,4.3,5.2,0.819,1.2,5.9,7.1,5.9,1.7,0.3,2.1,3.5,25.5,122,115,6MOY-2,quickim01
52,Tyler Herro,23,MIA,SG,67,67,2337,10.4,23.7,0.439,4.3,11.5,0.378,6.1,12.2,0.497,0.531,3.6,3.9,0.934,0.6,7.1,7.7,6,1.1,0.3,3.4,2.2,28.7,109,115,,herroty01
53,Patrick Williams,21,CHI,PF,82,65,2323,6.6,14.2,0.464,2.4,5.8,0.415,4.2,8.4,0.498,0.549,1.9,2.2,0.857,1.6,5.2,6.9,2.1,1.5,1.5,2.1,3.1,17.5,108,113,,willipa01
54,Nikola Jokić,27,DEN,C,69,69,2323,13.6,21.5,0.632,1.2,3.1,0.383,12.4,18.4,0.675,0.66,7.2,8.7,0.822,3.5,13.7,17.2,14.3,1.8,1,5.2,3.7,35.6,134,110,MVP-2CPOY-13ASNBA2,jokicni01
55,Derrick White,28,BOS,SG,82,70,2319,7.4,15.9,0.462,3.1,8.2,0.381,4.2,7.7,0.548,0.56,3.5,4,0.875,1.1,5.1,6.2,6.7,1.1,1.6,2,3.7,21.4,124,112,,whitede01
56,Jaden Ivey,20,DET,SG,74,73,2304,8.6,20.7,0.416,2.5,7.4,0.343,6.1,13.3,0.457,0.477,5.6,7.5,0.747,1.5,4.5,6.1,8.1,1.3,0.4,5,5.1,25.3,103,121,ROY-6,iveyja01
57,D'Angelo Russell,26,2TM,PG,71,71,2304,9.2,19.5,0.469,4,10.1,0.396,5.2,9.4,0.548,0.572,3.7,4.5,0.829,0.7,3.7,4.4,9,1.4,0.6,3.8,2.9,26,116,116,,russeda01
58,D'Angelo Russell,26,MIN,PG,54,54,1778,9,19.4,0.465,4,10.1,0.391,5.1,9.3,0.546,0.567,3.8,4.5,0.856,0.7,3.7,4.4,8.9,1.6,0.6,3.9,3.1,25.8,115,116,,russeda01
59,D'Angelo Russell,26,LAL,PG,17,17,526,9.6,19.9,0.484,4.1,10,0.414,5.5,9.9,0.555,0.588,3.2,4.4,0.735,0.6,3.9,4.5,9.3,0.9,0.7,3.5,2.1,26.7,118,117,,russeda01
60,Draymond Green,32,GSW,PF,73,73,2297,5.1,9.7,0.527,0.8,2.7,0.305,4.3,7.1,0.612,0.57,1.6,2.2,0.713,1.4,9.4,10.8,10.3,1.5,1.2,4.2,4.7,12.7,114,112,DPOY-4,greendr01
61,KJ Martin,22,HOU,SF,82,49,2292,8.7,15.2,0.569,1.4,4.6,0.315,7.2,10.7,0.679,0.617,3.2,4.7,0.68,2.7,6.9,9.6,2.6,0.9,0.6,1.9,3.1,22,126,121,,martike04
62,Joel Embiid,28,PHI,C,66,66,2284,15.8,28.8,0.548,1.4,4.3,0.33,14.4,24.5,0.587,0.573,14.3,16.7,0.857,2.5,12.1,14.5,5.9,1.4,2.4,4.9,4.4,47.4,124,109,MVP-1DPOY-9CPOY-5ASNBA1,embiijo01
63,Bruce Brown,26,DEN,SF,80,31,2280,7.7,15.9,0.483,2,5.4,0.358,5.7,10.4,0.548,0.545,2.5,3.3,0.758,1.4,5.7,7,5.7,1.9,1.1,2.6,4.1,19.8,113,114,,brownbr01
64,Klay Thompson,32,GSW,SF,69,69,2279,11.3,25.9,0.436,6.2,15.1,0.412,5.1,10.8,0.47,0.556,2.4,2.7,0.879,0.8,5.1,5.9,3.4,1,0.6,2.5,2.7,31.3,110,117,,thompkl01
65,Jalen Williams,21,OKC,SG,75,62,2276,8.6,16.6,0.521,1.5,4.3,0.356,7.1,12.3,0.579,0.567,3.2,4,0.812,1.8,5.3,7,5.2,2.1,0.7,2.6,4,22,118,114,ROY-2,willija06
66,Lauri Markkanen,25,UTA,PF,66,66,2273,12,24.1,0.499,4.2,10.7,0.391,7.8,13.3,0.585,0.586,7.3,8.4,0.875,2.7,9.2,12,2.6,0.9,0.8,2.7,2.9,35.5,125,116,MIP-1AS,markkla01
67,Max Strus,26,MIA,SF,80,33,2272,7.1,17.3,0.41,4.3,12.4,0.35,2.8,5,0.559,0.535,1.7,2,0.876,1.1,4.6,5.7,3.8,0.9,0.3,1.5,3.6,20.3,113,117,,strusma01
68,Luguentz Dort,23,OKC,SF,74,73,2272,7.1,18.3,0.388,2.8,8.6,0.33,4.3,9.7,0.44,0.466,4.2,5.4,0.772,2.7,4.5,7.2,3.2,1.6,0.5,1.9,5.1,21.2,109,116,,dortlu01
69,Nic Claxton,23,BRK,C,76,76,2271,8.9,12.6,0.705,0,0,0,8.9,12.6,0.708,0.705,2.9,5.3,0.541,4,11.1,15.1,3.1,1.4,4.1,2.1,4.6,20.7,132,108,DPOY-9,claxtni01
70,Jerami Grant,28,POR,PF,63,63,2246,9.4,19.8,0.475,3.1,7.8,0.401,6.3,12,0.523,0.554,6,7.4,0.813,1.1,5,6.1,3.3,1.1,1.1,2.5,3.3,28,117,120,,grantje01
71,Kyrie Irving,30,2TM,SG,60,60,2241,13,26.4,0.494,4.1,10.9,0.379,8.9,15.5,0.574,0.572,5.4,6,0.905,1.3,5.4,6.7,7.3,1.4,1,2.8,3.6,35.6,121,116,CPOY-12AS,irvinky01
72,Kyrie Irving,30,BRK,PG,40,40,1478,13.1,27.1,0.486,4.3,11.5,0.374,8.9,15.6,0.569,0.565,5.2,5.9,0.883,1.3,5.5,6.7,7,1.4,1.1,3,3.6,35.8,118,115,,irvinky01
73,Kyrie Irving,30,DAL,SG,20,20,763,12.8,25,0.51,3.8,9.6,0.392,9,15.4,0.585,0.586,5.8,6.1,0.947,1.4,5.1,6.5,7.8,1.6,0.8,2.4,3.6,35.1,127,117,,irvinky01
74,Kyle Kuzma,27,WAS,PF,64,64,2239,11.1,24.8,0.448,3.5,10.5,0.333,7.7,14.4,0.533,0.518,3.8,5.2,0.73,1.2,8.9,10.1,5.2,0.8,0.6,4.1,3.2,29.5,103,117,,kuzmaky01
75,Caris LeVert,28,CLE,SG,74,30,2237,7.2,16.6,0.431,2.8,7.3,0.392,4.3,9.4,0.462,0.517,2.9,4,0.722,1.2,5.1,6.3,6.4,1.6,0.5,2.6,3.8,20.1,111,112,,leverca01
76,Bennedict Mathurin,20,IND,SG,78,17,2222,8.8,20.3,0.434,2.1,6.6,0.323,6.7,13.7,0.488,0.487,8,9.7,0.828,1.9,4.9,6.8,2.5,1,0.3,3.2,3.5,27.8,109,121,ROY-46MOY-8,mathube01
77,Terry Rozier,28,CHO,SG,63,63,2221,10.6,25.5,0.415,3.5,10.8,0.327,7,14.6,0.48,0.484,3.8,4.7,0.809,1.1,4.5,5.6,6.8,1.6,0.3,2.9,2.6,28.5,106,117,,roziete01
78,Jarrett Allen,24,CLE,C,68,68,2220,9.1,14.1,0.644,0,0.2,0.1,9.1,13.9,0.653,0.645,3.7,5,0.733,5,10.1,15,2.6,1.2,1.9,2.1,3.5,21.9,132,108,,allenja01
79,Dillon Brooks,27,MEM,SF,73,73,2214,8.4,21.3,0.396,3.1,9.4,0.326,5.3,11.8,0.451,0.468,2.6,3.3,0.779,1,4.3,5.2,4.1,1.4,0.3,2.2,5.1,22.5,102,114,,brookdi01
80,Kevin Huerter,24,SAC,SG,75,75,2203,9.1,18.8,0.485,4.5,11.1,0.402,4.7,7.7,0.604,0.603,2.1,2.8,0.725,0.9,4.5,5.5,4.8,1.7,0.5,2.1,3.9,24.8,119,117,,huertke01
81,Jrue Holiday,32,MIL,PG,67,65,2183,10.7,22.4,0.479,3.5,9,0.384,7.3,13.4,0.542,0.556,3.3,3.9,0.859,1.7,5.7,7.5,10.8,1.7,0.5,4.3,2.5,28.2,118,112,DPOY-7AS,holidjr01
82,Alperen Şengün,20,HOU,C,75,72,2171,9.9,17.8,0.553,0.4,1.3,0.333,9.4,16.6,0.57,0.565,4.6,6.4,0.715,5.4,9.7,15.1,6.5,1.6,1.6,4.3,5.8,24.8,118,117,,sengual01
83,Anfernee Simons,23,POR,SG,62,62,2171,10.5,23.4,0.447,4.8,12.6,0.377,5.7,10.8,0.528,0.548,3.6,4,0.894,0.4,3.2,3.6,5.7,0.9,0.3,2.9,3.2,29.3,113,123,,simonan01
84,Ivica Zubac,25,LAC,C,76,76,2170,7.4,11.6,0.634,0,0,0,7.4,11.6,0.637,0.634,3.7,5.4,0.697,5.3,11.7,17.1,1.7,0.7,2.2,2.6,4.9,18.5,125,112,,zubaciv01
85,Killian Hayes,21,DET,PG,76,56,2154,6.9,18.3,0.377,1.8,6.4,0.28,5.1,11.9,0.429,0.426,2.1,2.5,0.821,0.6,4.3,5,10.6,2.3,0.6,3.9,4.9,17.7,98,118,,hayeski01
86,Tim Hardaway Jr.,30,DAL,SF,71,45,2152,7.9,19.6,0.401,4.9,12.7,0.385,3,6.9,0.431,0.527,2.9,3.8,0.77,0.5,5.3,5.8,3,1.1,0.3,1.4,2.8,23.5,110,119,,hardati02
87,De'Anthony Melton,24,PHI,SG,77,58,2150,6.4,15,0.425,3.6,9.3,0.39,2.8,5.7,0.484,0.546,1.6,2,0.793,1.6,5.6,7.2,4.5,2.9,0.9,2.4,4.4,18,111,111,,meltode01
88,Rudy Gobert,30,MIN,C,70,70,2148,8,12.1,0.659,0,0.1,0,8,12,0.663,0.659,4.8,7.5,0.644,5.1,12.9,18,1.9,1.2,2.1,2.7,4.6,20.8,127,109,,goberru01
89,Jimmy Butler,33,MIA,PF,64,64,2138,11.2,20.7,0.539,0.8,2.4,0.35,10.3,18.3,0.564,0.56,11,12.9,0.85,3.3,5.5,8.7,7.9,2.7,0.5,2.4,1.9,34.2,135,112,MVP-10DPOY-12CPOY-2NBA2,butleji01
